function;area;area_outdoors;daylight_analysis;sunlight_analysis;height_analysis;inv_height_analysis;noise
str;int;int;float;float;float;float;float
student_housing;10000;0;1;0.5;0;1;0.5
starter_housing;12000;0;1;0.5;1;0;0.7
elderly_housing;13000;1000;1;0.5;0.5;0.5;0.9
sportfacilities;600;0;0.6;0.3;0;1;0.3
kindergarden;200;240;0.8;0.7;0;1;0.8
care_centre;230;0;0.8;0.3;0;1;0.8
physical_therapy_centre;60;0;0.8;0.3;0;1;0.8
working_places;550;0;0.7;0.3;0;1;1
artstudios;60;0;0.8;0.6;0;1;0.8
library_cafe;900;0;0.8;0.6;0;1;0.9
community_spaces_student_starters;500;0;0.8;0.3;0;0.7;0.7
community_spaces_elderly;300;0;0.8;0.3;0;0.7;0.7
laundry_room;100;0;0.5;0;0;1;0
