function;area;area_outdoors;daylight_analysis;sunlight_analysis;height_analysis_lower;height_higher;noise
str;int;int;float;float;float;float;float
student_housing;1000;0;1;0.5;0.5;0.5;0.5
starter_housing;1200;0;1;0.5;0;0.8;0.7
elderly_housing;1300;1000;1;0.5;0.8;0;0.9
carparking_private;16000;0;0.3;0;1;0;0
bikeparking_private;2534;0;0.3;0;1;0;0
carparking_public;40;0;0.3;0;1;0;0
bikeparking_public;100;0;0.3;0;1;0;0
sportfacilities;600;0;0.6;0.3;1;0;0.3
kindergarden;200;240;0.8;0.7;1;0;0.8
city_garden;5500;0;1;1;0.5;0.5;0.8
care_centre;230;0;0.8;0.3;1;0;0.8
physical_therapy_centre;60;0;0.8;0.3;1;0;0.8
working_places;550;0;0.7;0.3;1;0;1
artstudios;60;0;0.8;0.6;1;0;0.8
library_cafe;900;0;0.8;0.6;1;0;0.9
community_spaces_student_starters;500;0;0.8;0.3;0.7;0;0.7
community_spaces_elderly;300;0;0.8;0.3;0.7;0;0.7
